"testId","tech","paramIdx","param","mddl","mda","mae_md","rmse_md","mae","rmse","dist"
1,"ssa",13,"25, 4,1d-ssa,2,20",0,6.17388019929264e-14,9.94852773821247e-16,6.17388019929264e-14,1.01364699075301e-15,1.42842865164316e-15,2.25969568969137e-13
1,"ssa",14,"50, 4,1d-ssa,2,20",0,6.25865688820056e-14,9.02722252857989e-16,6.25865688820056e-14,9.24337464249467e-16,1.46670267903137e-15,2.3949722628217e-13
1,"ssa",16," 7, 5,1d-ssa,2,20",0,5.43454537329735e-14,8.24272149358959e-16,5.43454537329735e-14,8.34140625418819e-16,1.24776403763553e-15,1.07995296860942e-13
1,"ssa",17," 8, 5,1d-ssa,2,20",0,5.51564425635057e-14,7.96767515634648e-16,5.51564425635057e-14,8.08407329696083e-16,1.27088131721954e-15,1.20936093588746e-13
1,"ssa",18," 9, 5,1d-ssa,2,20",0,4.86081373956336e-14,7.21290625788109e-16,4.86081373956336e-14,7.31636469305293e-16,1.11938403786853e-15,1.64460156755255e-14
1,"ssa",19,"10, 5,1d-ssa,2,20",0,5.486850530106e-14,7.91419672343171e-16,5.486850530106e-14,8.04498710899985e-16,1.26214494591028e-15,1.16341532673246e-13
1,"ssa",20,"25, 5,1d-ssa,2,20",0,6.17388019929264e-14,9.94852773821247e-16,6.17388019929264e-14,1.01364699075301e-15,1.42842865164316e-15,2.25969568969137e-13
1,"ssa",21,"50, 5,1d-ssa,2,20",0,6.25865688820056e-14,9.02722252857989e-16,6.25865688820056e-14,9.24337464249467e-16,1.46670267903137e-15,2.3949722628217e-13
1,"ssa",23," 7, 6,1d-ssa,2,20",0,5.43454537329735e-14,8.24272149358959e-16,5.43454537329735e-14,8.34140625418819e-16,1.24776403763553e-15,1.07995296860942e-13
1,"ssa",24," 8, 6,1d-ssa,2,20",0,5.51564425635057e-14,7.96767515634648e-16,5.51564425635057e-14,8.08407329696083e-16,1.27088131721954e-15,1.20936093588746e-13
1,"ssa",25," 9, 6,1d-ssa,2,20",0,4.86081373956336e-14,7.21290625788109e-16,4.86081373956336e-14,7.31636469305293e-16,1.11938403786853e-15,1.64460156755255e-14
1,"ssa",26,"10, 6,1d-ssa,2,20",0,5.486850530106e-14,7.91419672343171e-16,5.486850530106e-14,8.04498710899985e-16,1.26214494591028e-15,1.16341532673246e-13
1,"ssa",27,"25, 6,1d-ssa,2,20",0,6.17388019929264e-14,9.94852773821247e-16,6.17388019929264e-14,1.01364699075301e-15,1.42842865164316e-15,2.25969568969137e-13
1,"ssa",28,"50, 6,1d-ssa,2,20",0,6.25865688820056e-14,9.02722252857989e-16,6.25865688820056e-14,9.24337464249467e-16,1.46670267903137e-15,2.3949722628217e-13
